Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
Japan,AA+,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+
"Korea, Rep.",BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,A,A,A,A,AA,AA,AA,AA,AA,AA,AA,AA,AA
Singapore,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
Norway,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
China,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,AA-,AA-,AA-,AA-,AA-,AA-,AA-,A+,A+,A+,A+,A+,A+,A+,A+
India,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-
Indonesia,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,BB+,BB+,BB+,BB+,BB+,BBB-,BBB-,BBB-,BBB,BBB,BBB,BBB,BBB
Malaysia,BBB+,BBB+,BBB+,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-
Thailand,BBB-,BBB-,BBB-,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+
Philippines,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB+,BBB+,BBB+,BBB+,BBB+
Brazil,B+,B+,B+,B+,B+,B+,B+,B+,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BB+,BB+,BB+,BB+,BB+,BB-,BB-,BB-,BB-,BB-
Mexico,BB+,BB+,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB,BBB,BBB,BBB,BBB
Chile,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,A+,A+,A+,A,A
Colombia,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BB+,BB+
South Africa,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB,BBB,BBB,BBB,BBB,BB+,BB+,BB+,BB-,BB-,BB-,BB-,BB-
Turkiye,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,BB+,BB+,BB+,BB+,BB+,B+,B+,B+,B+,B+,B+,B+
Poland,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-
Hungary,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BB+,BB+,BB+,BB+,BBB-,BBB-,BBB-,BBB-,BBB,BBB,BBB,BBB,BBB
Romania,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-
Argentina,BB,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,CCC-,CCC-,CCC-,CCC,CCC
Pakistan,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,CCC+,CCC+
"Egypt, Arab Rep.",BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,B+,B+,B+,B+,B+,B+,B+,B,B,B,B,B
Ghana,B,B,B,B,B,B,B,B,B,B,B,B+,B+,B+,B+,B+,B+,B+,B+,B+,B,B,B,CCC+,CCC+
Nigeria,B-,B-,B-,B-,B-,B-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,B-,B-,B-,B-,B-
Tunisia,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB+,BB+,BB+,BB+,BB+,B-,B-,B-,CCC,CCC
Ukraine,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B+,B+,B+,B+,CCC-,CCC-,CCC-,CCC-,CCC-,CCC-,CCC-,CCC-,CCC-,CCC-
Sri Lanka,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,B+,B+,B+,B+,B+,B+,B+,B+,B-,B-,CC,CC,CC
